num,freq,baud,location,time,demod,demodrate,inforate,isdiff,isDAOPU,isTDMA,codeType,frameLen,poly,transport
2870,20602.68262,520.186,04B6K2,2016/1/5 8:37,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2871,11902.21851,141.467,04N2K1,2016/2/2 12:32,8PSK,145.068,0,N,N,unknow,unknow,NA,unknow,unknow
2872,20574.63184,2523.088,04B6K2,2016/1/9 19:19,8PSK,2650.018,0,N,N,unknow,unknow,NA,unknow,unknow
2873,20571.45215,20169.314,04B6K2,2016/1/8 5:31,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2874,11596.70117,1035.279,04N2K1,2016/1/30 21:40,QPSK,1072.762,0,N,N,unknow,unknow,NA,unknow,unknow
2875,20629.17969,124.262,04B6K2,2016/1/6 2:57,BPSK,104.727,52000,Y,N,unknow,NSC,NA,G18,unknow
2876,20570.35547,12999.905,04B6K2,2016/1/9 20:36,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2877,20610.25879,404.438,04N2K1,2016/1/7 10:41,QPSK,415.997,0,N,N,Y,unknow,NA,unknow,unknow
2878,20610.25098,394.377,04B6K2,2016/1/9 14:52,QPSK,415.952,NA,unknow,unknow,Y,unknow,NA,unknow,unknow
2879,20701.06543,595.788,04B6K2,2016/1/9 11:45,QPSK,625.056,NA,unknow,unknow,Y,unknow,NA,unknow,unknow
2880,12029.18823,103.831,04N2K1,2016/1/6 2:44,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2881,11889.8689,201.223,04N2K1,2016/2/1 14:58,QPSK,217.601,326000,N,N,unknow,TPC,NA,IBS,unknow
2882,20630.89063,51.049,04B6K2,2016/1/9 20:36,BPSK,16,8000,N,N,unknow,NSC,NA,V35,unknow
2883,20538.45508,249.151,04B6K2,2016/1/6 6:44,QPSK,264.53,396000,N,N,unknow,TPC,NA,IBS,unknow
2884,20537.6543,89.689,04B6K2,2016/1/6 6:44,QPSK,93.866,140000,N,N,unknow,TPC,NA,IBS,unknow
2885,20538.05371,253.48,04B6K2,2016/1/1 1:25,QPSK,264.53,396000,N,N,unknow,TPC,NA,IBS,unknow
2886,20537.50293,91.23,04B6K2,2016/1/6 6:44,QPSK,93.867,140000,N,N,unknow,TPC,NA,IBS,unknow
2887,12109.03027,423.395,04N2K1,2016/1/7 11:01,8PSK,523.375,0,N,N,unknow,unknow,NA,unknow,unknow
2888,12126.89014,273.17,04N2K1,2016/1/7 10:43,8PSK,287.222,0,N,N,unknow,unknow,NA,unknow,unknow
2889,12159.4419,207,04N2K1,2016/1/6 20:30,QPSK,217.6,326000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2890,20612.74707,373.509,04B6K2,2016/1/6 20:20,QPSK,416.007,NA,unknow,unknow,Y,unknow,NA,unknow,unknow
2891,12145.67041,169.02,04N2K1,2016/1/7 2:18,BPSK,178.653,0,N,N,unknow,unknow,NA,unknow,unknow
2892,20629.20508,136.73,04B6K2,2016/1/2 2:51,BPSK,104.726,52000,Y,N,unknow,NSC,NA,G18,unknow
2893,12156.50977,166.899,04N2K1,2016/1/6 14:56,8PSK,173.332,0,N,N,unknow,unknow,NA,unknow,unknow
